Sent [SYN] packet - Time: 0.1429ms
Received [SYN-ACK] packet - Time: 0.0044ms
Sent [ACK] packet - Time: 0.0245ms
Received [Data] packet - Filename: , SeqNum: 58, AckNum: 58, Length: 14, cwndSize: 13, Checksum: 4294919553, Time: 0.0043ms
Received [Data] packet - Filename: , SeqNum: 59, AckNum: 59, Length: 14, cwndSize: 13, Checksum: 4294919553, Time: 0.0047ms
Received [Data] packet - Filename: , SeqNum: 60, AckNum: 60, Length: 14, cwndSize: 13, Checksum: 4294919553, Time: 0.004ms
Received [Data] packet - Filename: , SeqNum: 61, AckNum: 61, Length: 14, cwndSize: 13, Checksum: 4294919553, Time: 0.0039ms
Received [Data] packet - Filename: , SeqNum: 62, AckNum: 62, Length: 14, cwndSize: 13, Checksum: 4294919553, Time: 0.0041ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 63, AckNum: 62, Length: 1024, cwndSize: 14, Checksum: 4294946143, Time: 0.0299ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 64, AckNum: 63, Length: 1024, cwndSize: 14, Checksum: 4294948948, Time: 0.0063ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 65, AckNum: 64, Length: 1024, cwndSize: 14, Checksum: 4294938193, Time: 0.0062ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 66, AckNum: 65, Length: 1024, cwndSize: 14, Checksum: 4294954131, Time: 0.0057ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 67, AckNum: 66, Length: 1024, cwndSize: 14, Checksum: 4294948254, Time: 0.006ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 68, AckNum: 67, Length: 1024, cwndSize: 14, Checksum: 4294902052, Time: 0.0057ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 69, AckNum: 68, Length: 1024, cwndSize: 14, Checksum: 4294951691, Time: 0.0067ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 70, AckNum: 69, Length: 1024, cwndSize: 14, Checksum: 4294907109, Time: 0.0057ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 71, AckNum: 70, Length: 1024, cwndSize: 14, Checksum: 4294944671, Time: 0.0066ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 72, AckNum: 71, Length: 1024, cwndSize: 14, Checksum: 4294936474, Time: 0.0183ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 73, AckNum: 72, Length: 1024, cwndSize: 14, Checksum: 4294960466, Time: 0.0082ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 74, AckNum: 73, Length: 1024, cwndSize: 14, Checksum: 4294907635, Time: 0.006ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 75, AckNum: 74, Length: 1024, cwndSize: 14, Checksum: 4294947341, Time: 0.015ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 76, AckNum: 75, Length: 1024, cwndSize: 14, Checksum: 4294906417, Time: 0.0063ms
Received [Data] packet - Filename: , SeqNum: 63, AckNum: 63, Length: 14, cwndSize: 14, Checksum: 4294919553, Time: 0.0017ms
